BOROUGH,IS_CENTRAL_LONDON,LONDON_REGION,YEAR,TRANSACTIONS,AVG_PRICE,MEDIAN_PRICE,PREV_AVG_PRICE,PREV_MEDIAN_PRICE,YOY_AVG_CHANGE_GBP,YOY_MEDIAN_CHANGE_GBP,YOY_AVG_CHANGE_PCT,YOY_MEDIAN_CHANGE_PCT,YOY_VOLUME_CHANGE_PCT
Camden,TRUE,North West London,2024,2763,1287847,765000,1420325,1145000,-132478,-380000,-9.33,-33.19,6639.02
Camden,TRUE,West Central London,2024,348,1739255,852500,1287847,765000,451408,87500,35.05,11.44,-87.40
City of London,TRUE,East Central London,2024,468,3301643,865000,5534621,938422,-2232978,-73422,-40.35,-7.82,44.00
Croydon,FALSE,South East London,2024,956,433344,395000,431087,379750,2257,15250,0.52,4.02,-1.04
Ealing,FALSE,West London,2024,2448,743240,550000,756322,550050,-13082,-50,-1.73,-0.01,4.13
Enfield,FALSE,North London,2024,1564,543787,445000,635825,447000,-92038,-2000,-14.48,-0.45,14.83
Greenwich,FALSE,South East London,2024,3614,565399,450000,536401,435000,28998,15000,5.41,3.45,19.20
Hackney,FALSE,North London,2024,687,750007,583000,2724940,940000,-1974933,-357000,-72.48,-37.98,925.37
Hackney,FALSE,East Central London,2024,67,2724940,940000,685854,578500,2039086,361500,297.31,62.49,-94.72
Hackney,FALSE,East London,2024,1268,685854,578500,760460,575000,-74606,3500,-9.81,0.61,130.13
Hammersmith and Fulham,TRUE,West London,2024,1673,1092237,720000,1185628,760000,-93391,-40000,-7.88,-5.26,6.22
Hammersmith and Fulham,TRUE,South West London,2024,1364,1303206,910000,1092237,720000,210969,190000,19.32,26.39,-18.47
Haringey,FALSE,North London,2024,3500,699124,534167,754900,531000,-55776,3167,-7.39,0.60,6.29
Hounslow,FALSE,West London,2024,789,1094633,774000,1165283,800000,-70650,-26000,-6.06,-3.25,16.37
Islington,TRUE,North London,2024,2310,858678,625000,910658,630000,-51980,-5000,-5.71,-0.79,11.49
Islington,TRUE,East Central London,2024,650,1403922,836250,858678,625000,545244,211250,63.50,33.80,-71.86
Kensington and Chelsea,TRUE,South West London,2024,1345,2078769,1200000,2433127,1218045,-354358,-18045,-14.56,-1.48,4.67
Kensington and Chelsea,TRUE,West London,2024,919,2372340,1125000,2078769,1200000,293571,-75000,14.12,-6.25,-31.67
Lambeth,TRUE,South East London,2024,876,709252,550000,750292,545000,-41040,5000,-5.47,0.92,-73.96
Lambeth,TRUE,South West London,2024,3591,714105,525000,709252,550000,4853,-25000,0.68,-4.55,309.93
Lewisham,FALSE,South East London,2024,3572,558544,450000,520040,447084,38504,2916,7.40,0.65,16.50
Merton,FALSE,South West London,2024,1783,886338,615000,876745,600000,9593,15000,1.09,2.50,13.42
Newham,FALSE,East London,2024,3024,501496,450000,566700,425000,-65204,25000,-11.51,5.88,16.13
Redbridge,FALSE,East London,2024,322,664976,475000,550043,458000,114933,17000,20.90,3.71,21.51
Richmond upon Thames,FALSE,South West London,2024,552,1247271,995000,1230607,965000,16664,30000,1.35,3.11,19.74
Southwark,TRUE,South East London,2024,3912,796170,550000,780573,550000,15597,0,2.00,0.00,17.02
Tower Hamlets,FALSE,East London,2024,3590,878711,490646,710439,490000,168272,646,23.69,0.13,8.46
Waltham Forest,FALSE,East London,2024,3410,559102,500000,581581,498200,-22479,1800,-3.87,0.36,10.68
Wandsworth,FALSE,South West London,2024,5592,860705,650000,878637,659000,-17932,-9000,-2.04,-1.37,11.64
Westminster,TRUE,West London,2024,1973,2874251,1000000,3246665,1075000,-372414,-75000,-11.47,-6.98,129.42
Westminster,TRUE,South West London,2024,860,3246665,1075000,3330125,1140000,-83460,-65000,-2.51,-5.70,-55.32
Westminster,TRUE,North West London,2024,437,1757958,835000,2874251,1000000,-1116293,-165000,-38.84,-16.50,-77.85
Westminster,TRUE,West Central London,2024,95,4892875,1200000,1757958,835000,3134917,365000,178.33,43.71,-78.26
